"Iteration","Converged","SignificantOSAGenes","CommonGenes","EligiblePoolGenes","SameSignSelectedGenes","SelectedPearson","Error"
346,TRUE,0,12958,110,67,0.703729553788234,
347,TRUE,0,12958,110,51,0.779077853299158,
348,TRUE,0,12958,110,63,0.450630438216257,
349,TRUE,0,12958,110,64,0.685861002238143,
350,TRUE,0,12958,110,45,0.746617492792869,
351,TRUE,0,12958,110,50,0.340657173947694,
352,TRUE,0,12958,110,58,0.713654382593782,
353,TRUE,0,12958,110,42,0.663946045216976,
354,TRUE,0,12958,110,56,0.687403377811678,
355,TRUE,0,12958,110,49,0.734377101440077,
356,TRUE,0,12958,110,56,0.711858189974658,
357,TRUE,0,12958,110,42,0.616581567082581,
358,TRUE,0,12958,110,37,0.786771986650177,
359,TRUE,0,12958,110,55,0.777263359989077,
360,TRUE,0,12958,110,42,0.723459976245633,
361,TRUE,0,12958,110,39,0.821992651169981,
362,TRUE,0,12958,110,75,0.62686582432586,
363,TRUE,0,12958,110,57,0.797058408829575,
364,TRUE,0,12958,110,46,0.757424727871797,
365,TRUE,0,12958,110,47,0.676407070570134,
366,TRUE,0,12958,110,60,0.64362154380515,
367,TRUE,0,12958,110,63,0.673461215049343,
368,TRUE,0,12958,110,57,0.718834354832035,
369,TRUE,0,12958,110,41,0.69383434076594,
370,TRUE,0,12958,110,56,0.563036199093861,
371,TRUE,0,12958,110,55,0.545516640628554,
372,TRUE,0,12958,110,67,0.629521986703206,
373,TRUE,0,12958,110,60,0.667041191271806,
374,TRUE,0,12958,110,54,0.709776262195923,
375,TRUE,0,12958,110,78,0.651634066296825,
376,TRUE,0,12958,110,69,0.678731704899577,
377,TRUE,0,12958,110,50,0.669876334077719,
378,TRUE,0,12958,110,58,0.626284783285896,
379,TRUE,0,12958,110,65,0.634978685881899,
380,TRUE,0,12958,110,71,0.667615822642754,
381,TRUE,0,12958,110,53,0.730610118113187,
382,TRUE,0,12958,110,75,0.650263684372173,
383,TRUE,0,12958,110,58,0.796527280096877,
384,TRUE,2,12958,110,61,0.673136443638954,
385,TRUE,0,12958,110,70,0.707874065113429,
386,TRUE,0,12958,110,67,0.764527574326384,
387,TRUE,0,12958,110,63,0.721028590720969,
388,TRUE,0,12958,110,70,0.632910715217707,
389,TRUE,0,12958,110,58,0.653142338102749,
390,TRUE,0,12958,110,54,0.80234076972928,
391,TRUE,0,12958,110,43,0.787764826190765,
392,TRUE,0,12958,110,51,0.641699105680445,
393,TRUE,0,12958,110,52,0.756754988650439,
394,TRUE,0,12958,110,58,0.478422090319241,
395,TRUE,0,12958,110,52,0.508433849166796,
396,TRUE,0,12958,110,60,0.590647332329645,
397,TRUE,0,12958,110,62,0.681524823754945,
398,TRUE,0,12958,110,50,0.501678645505717,
399,TRUE,0,12958,110,63,0.709479873171739,
400,TRUE,0,12958,110,58,0.631372746848004,
401,TRUE,0,12958,110,51,0.764369195120453,
402,TRUE,0,12958,110,39,0.673865702310365,
403,TRUE,0,12958,110,51,0.59947785249753,
404,TRUE,0,12958,110,43,0.56999291610726,
405,TRUE,0,12958,110,60,0.583997432189812,
406,TRUE,0,12958,110,60,0.720306239530791,
407,TRUE,0,12958,110,52,0.64802689482146,
408,TRUE,0,12958,110,48,0.675457258237106,
409,TRUE,0,12958,110,48,0.65263367171671,
410,TRUE,0,12958,110,60,0.699585153744592,
411,TRUE,0,12958,110,43,0.432515152554554,
412,TRUE,0,12958,110,59,0.70621489785698,
413,TRUE,224,12958,111,55,0.750691053688666,
414,TRUE,0,12958,110,54,0.825240152505934,
415,TRUE,0,12958,110,44,0.707481304799735,
416,TRUE,0,12958,110,50,0.700988179173055,
417,TRUE,0,12958,110,48,0.451605427369066,
418,TRUE,0,12958,110,62,0.655313233405145,
419,TRUE,0,12958,110,71,0.697378940820079,
420,TRUE,0,12958,110,52,0.731432890890384,
421,TRUE,0,12958,110,76,0.787322487435801,
422,TRUE,0,12958,110,55,0.651726355897304,
423,TRUE,0,12958,110,54,0.652649622517872,
424,TRUE,0,12958,110,46,0.894932896140078,
425,TRUE,0,12958,110,42,0.803409208582617,
426,TRUE,0,12958,110,39,0.633831492741587,
427,TRUE,0,12958,110,48,0.76978615856322,
428,TRUE,0,12958,110,37,0.674418310405312,
429,TRUE,0,12958,110,50,0.548041046482986,
430,TRUE,0,12958,110,58,0.680683016301628,
431,TRUE,0,12958,110,77,0.659290430103491,
432,TRUE,0,12958,110,48,0.668801978635165,
433,TRUE,0,12958,110,35,0.700900188769881,
434,TRUE,0,12958,110,57,0.681136970508755,
435,TRUE,1,12958,110,52,0.773016511212213,
436,TRUE,0,12958,110,71,0.669864305458558,
437,TRUE,0,12958,110,55,0.778876445850948,
438,TRUE,0,12958,110,54,0.772300398736637,
439,TRUE,0,12958,110,44,0.83181741025869,
440,TRUE,0,12958,110,48,0.797874437147986,
441,TRUE,0,12958,110,49,0.684455253187662,
442,TRUE,0,12958,110,72,0.620166713360546,
443,TRUE,0,12958,110,60,0.732492585556061,
444,TRUE,0,12958,110,48,0.702876266302884,
445,TRUE,0,12958,110,49,0.771018300687016,
446,TRUE,0,12958,110,57,0.705972661106394,
447,TRUE,0,12958,110,48,0.6592479453733,
448,TRUE,0,12958,110,45,0.706743493102694,
449,TRUE,0,12958,110,69,0.631569922446948,
450,TRUE,0,12958,110,68,0.676322392226034,
451,TRUE,0,12958,110,34,0.715505209165431,
452,TRUE,0,12958,110,53,0.694564811510838,
453,TRUE,0,12958,110,50,0.777038818346979,
454,TRUE,0,12958,110,43,0.721515463825606,
455,TRUE,0,12958,110,48,0.624949590761548,
456,TRUE,0,12958,110,55,0.755253450387789,
457,TRUE,0,12958,110,46,0.704716845937715,
458,TRUE,0,12958,110,47,0.645356962652116,
459,TRUE,0,12958,110,63,0.699649928672293,
460,TRUE,0,12958,110,59,0.791299664388124,
461,TRUE,0,12958,110,59,0.660671746328437,
462,TRUE,1,12958,110,44,0.614516995343596,
463,TRUE,0,12958,110,53,0.709043690346292,
464,TRUE,0,12958,110,51,0.737300739018901,
465,TRUE,0,12958,110,59,0.632580149889239,
466,TRUE,0,12958,110,45,0.52237078438091,
467,TRUE,0,12958,110,59,0.582472530082996,
468,TRUE,0,12958,110,65,0.65679489088767,
469,TRUE,0,12958,110,55,0.647134583602957,
470,TRUE,0,12958,110,50,0.466245372761001,
471,TRUE,0,12958,110,56,0.660706206280758,
472,TRUE,0,12958,110,43,0.704481791069224,
473,TRUE,0,12958,110,54,0.638722258103638,
474,TRUE,0,12958,110,43,0.711621829395138,
475,TRUE,0,12958,110,66,0.656232190700704,
476,TRUE,0,12958,110,55,0.70298403216818,
477,TRUE,0,12958,110,39,0.749779967054568,
478,TRUE,0,12958,110,48,0.718334857367032,
479,TRUE,0,12958,110,55,0.475089998847021,
480,TRUE,0,12958,110,58,0.592622560610671,
481,TRUE,0,12958,110,67,0.731793124236207,
482,TRUE,0,12958,110,62,0.665810865795646,
483,TRUE,0,12958,110,45,0.64171990705804,
484,TRUE,0,12958,110,58,0.785323917546585,
485,TRUE,0,12958,110,61,0.671140630977016,
486,TRUE,0,12958,110,34,0.710379053035767,
487,TRUE,0,12958,110,47,0.467263047643292,
488,TRUE,0,12958,110,60,0.784010977164068,
489,TRUE,0,12958,110,45,0.347223687097282,
490,TRUE,0,12958,110,55,0.712768390059776,
491,TRUE,0,12958,110,48,0.67275372405722,
492,TRUE,0,12958,110,50,0.671187203312132,
493,TRUE,0,12958,110,33,0.659971957307204,
494,TRUE,0,12958,110,64,0.634509753005928,
495,TRUE,0,12958,110,48,0.753599504505535,
496,TRUE,0,12958,110,47,0.783879925174206,
497,TRUE,0,12958,110,59,0.704267274361469,
498,TRUE,0,12958,110,48,0.445688007280082,
499,TRUE,0,12958,110,60,0.624811314735885,
500,TRUE,0,12958,110,58,0.55233062575055,
501,TRUE,0,12958,110,52,0.733921254675393,
502,TRUE,0,12958,110,48,0.736029196272555,
503,TRUE,0,12958,110,37,0.591753250747071,
504,TRUE,0,12958,110,50,0.575112407191846,
505,TRUE,0,12958,110,42,0.641458510478819,
506,TRUE,0,12958,110,58,0.698008977999101,
507,TRUE,0,12958,110,63,0.678816747860059,
508,TRUE,0,12958,110,60,0.65565596913207,
509,TRUE,0,12958,110,62,0.583504099081755,
510,TRUE,0,12958,110,47,0.817110010121582,
511,TRUE,0,12958,110,39,0.605310340900076,
512,TRUE,0,12958,110,53,0.691667701002827,
513,TRUE,0,12958,110,43,0.809837679999693,
514,TRUE,0,12958,110,57,0.775352625068499,
515,TRUE,0,12958,110,55,0.543089020449377,
516,TRUE,0,12958,110,43,0.78054300258162,
517,TRUE,0,12958,110,52,0.748771354841525,
518,TRUE,3,12958,110,57,0.767373288971255,
519,TRUE,0,12958,110,54,0.585496956066155,
520,TRUE,0,12958,110,61,0.510212098060566,
521,TRUE,0,12958,110,47,0.584628057049572,
522,TRUE,0,12958,110,64,0.600735904378477,
523,TRUE,0,12958,110,62,0.645389130970315,
524,TRUE,0,12958,110,55,0.758553263376685,
525,TRUE,0,12958,110,45,0.614487388436506,
526,TRUE,0,12958,110,46,0.617104917035822,
527,TRUE,0,12958,110,62,0.64719132028004,
528,TRUE,0,12958,110,61,0.607869281353378,
529,TRUE,0,12958,110,62,0.656661527863043,
530,TRUE,0,12958,110,57,0.676590407108207,
531,TRUE,0,12958,110,54,0.668051091980192,
532,TRUE,0,12958,110,57,0.673641444777561,
533,TRUE,0,12958,110,46,0.385678579705966,
534,TRUE,0,12958,110,54,0.700246156841515,
535,TRUE,0,12958,110,62,0.625370658862341,
536,TRUE,0,12958,110,60,0.560775116297608,
537,TRUE,0,12958,110,71,0.65780677283487,
538,TRUE,0,12958,110,53,0.747244419826437,
539,TRUE,14,12958,110,40,0.426254401327005,
540,TRUE,0,12958,110,51,0.552125661469657,
541,TRUE,0,12958,110,49,0.649200423095191,
542,TRUE,0,12958,110,49,0.626684713495743,
543,TRUE,0,12958,110,55,0.765241556072071,
544,TRUE,0,12958,110,45,0.533077387546242,
545,TRUE,0,12958,110,51,0.713790057811113,
546,TRUE,0,12958,110,48,0.735487499109169,
547,TRUE,0,12958,110,71,0.635945065834676,
548,TRUE,0,12958,110,53,0.695067783795393,
549,TRUE,0,12958,110,73,0.620171490723118,
550,TRUE,0,12958,110,59,0.645996353129421,
551,TRUE,0,12958,110,66,0.628884889919688,
552,TRUE,0,12958,110,66,0.660743769561748,
