"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"ACVR2B",794.122386850236,-0.662568045634727,0.128988881232013,-5.13662913660723,2.79710168754144e-07,0.000145178318526175,TRUE
"DACT2",71.9335793168664,1.86216386423981,0.365522110735421,5.09453138277514,3.49604922404512e-07,0.000173082618046084,TRUE
"ZNF446",190.450615664737,-1.07708613827275,0.21152535052828,-5.0919955248047,3.54314468876324e-07,0.000173082618046084,TRUE
"MARF1",1598.16636130153,-0.325332867082933,0.0642294972262435,-5.06516291007187,4.08051238847372e-07,0.000193637800743314,TRUE
"SERPINE1",996.689662864283,1.88800973156495,0.378690454243928,4.98562799882147,6.1760875200238e-07,0.000279894443437807,TRUE
"PTPA",1086.8831594239,0.403954147042018,0.0810536837194805,4.98378517181362,6.23523054199462e-07,0.000279894443437807,TRUE
"ME1",767.020947914033,1.87773972109924,0.379953024595724,4.94203125003988,7.73128196151858e-07,0.000329253492561185,TRUE
"KAZN",304.422259601787,-0.554077131701177,0.112060402491036,-4.94445066575144,7.63588750205798e-07,0.000329253492561185,TRUE
"PRKCE",1157.15948039002,1.06707799021216,0.217433611957641,4.90760366166405,9.21959284045026e-07,0.00034917589791575,TRUE
"ZSWIM1",537.112515730491,-0.733798528096051,0.149542623621259,-4.90695234794407,9.25024956848274e-07,0.00034917589791575,TRUE
"AHCY",1984.00995290233,-0.526137071514173,0.107105603059287,-4.91232070485551,9.00046757344285e-07,0.00034917589791575,TRUE
"R3HDM4",210.832931383489,0.416027166275361,0.0845713305673964,4.91924584234633,8.68782959702565e-07,0.00034917589791575,TRUE
"PLEKHB2",792.798984122782,0.375430547452428,0.0763079729105758,4.91993867917825,8.65713305541826e-07,0.00034917589791575,TRUE
"SLC49A3",78.9885297908897,1.18484970588629,0.242629185234664,4.88337668339586,1.04284378860548e-06,0.000384902055221075,TRUE
"FBXO2",289.760753195061,1.25436561056306,0.257196102848576,4.87707860527561,1.0766853783276e-06,0.000388753640187895,TRUE
"MAGI3",1194.82999789522,-0.432247791616454,0.0888010499227433,-4.86759775917636,1.12962956367285e-06,0.000399191860064731,TRUE
"APOF",3064.32358233984,-0.876508193747552,0.182016927610488,-4.81553119951162,1.46808822486155e-06,0.000507989110973447,TRUE
"AMDHD1",1835.96349678223,-0.792135378870777,0.165182171451502,-4.79552588460401,1.62248616310328e-06,0.000549956585366986,TRUE
"SLC16A13",252.85648895897,1.06146542750536,0.222156262941223,4.77801261802015,1.77036273941332e-06,0.000576548132135603,TRUE
"PLA2G10",48.6632705389757,-0.941178486397164,0.196875898213731,-4.780567326608,1.74801205402617e-06,0.000576548132135603,TRUE
"ATL3",2833.63514606976,0.3961270701181,0.0830972274767041,4.76703112903679,1.86960432581046e-06,0.00059715881244973,TRUE
"ARF6",436.906619033774,0.378899678639762,0.0797136077409818,4.75326220174282,2.00160493780289e-06,0.000627257668150344,TRUE
"SDCBP2",121.112086859101,1.12179904728792,0.236262377819246,4.74810698868934,2.05329416942261e-06,0.000631540052961853,TRUE
"TTC21B",993.292709773243,-0.459939350609391,0.0972997318322226,-4.72703615876846,2.27820708363835e-06,0.000687977117311807,TRUE
"FGGY",1812.19999647677,-0.514429800077321,0.109497484117338,-4.6980969857358,2.62596737343493e-06,0.000778833787596085,TRUE
"PHF8",769.219636598707,-0.671156331436004,0.143550758900984,-4.67539382288423,2.93390043389346e-06,0.000854897408886606,TRUE
"USPL1",646.507412592659,-0.302726261750302,0.0650833861136371,-4.65136004481597,3.29753030769308e-06,0.000944287601387489,TRUE
"UGT2A3",1889.03602517082,0.763611898050968,0.164409817402255,4.64456387164929,3.40795605864179e-06,0.000959368511491213,TRUE
"ATP6V0D1",905.182887730122,0.502412492255229,0.108355294033999,4.63671384711104,3.5399193882672e-06,0.000979908685328833,TRUE
"RASSF4",901.715254859031,0.644894601719433,0.139370291053343,4.62720280517031,3.70637534791248e-06,0.00100610193622499,TRUE
"ZNF69",391.451620697444,-0.4336545421855,0.0937740240680102,-4.62446340013082,3.75569390366362e-06,0.00100610193622499,TRUE
"KCND3",1472.32932654889,-0.752423259844952,0.163526142508963,-4.60124141804246,4.19980309134087e-06,0.00108991452412626,TRUE
"H1-0",1742.89066261611,0.580643071557154,0.12613162611477,4.60346932361607,4.15510423844636e-06,0.00108991452412626,TRUE
"MMP15",575.368668509728,0.492997768678121,0.107255032030851,4.59650013004812,4.29646705849322e-06,0.00109784648268483,TRUE
"POGLUT2",182.428852040006,0.643492191512096,0.140216389752762,4.58927941766823,4.44778727605563e-06,0.00111929240709103,TRUE
"ZDHHC19",8.86605476949136,-1.74417946770431,0.381119512388911,-4.57646331664194,4.72902586644167e-06,0.0011723043375482,TRUE
"F2RL1",199.900104503085,1.17252716864592,0.256891260180313,4.56429373199742,5.01178679842128e-06,0.0012241289255144,TRUE
"INHBE",3485.22210446936,0.914565348036489,0.201141936532663,4.54686558060445,5.44507494680748e-06,0.00129196071130751,TRUE
"TP53INP1",4749.58168180369,0.711733512523265,0.156436357103178,4.54966815708856,5.37305817310301e-06,0.00129196071130751,TRUE
"CTSD",6809.74228052264,0.568128417963019,0.125105677275023,4.54118814059963,5.5938084248912e-06,0.00130855724125377,TRUE
"TRPM1",22.0742257172278,-1.75604099925536,0.387336194652122,-4.53363518178959,5.79771315088257e-06,0.00133741969059734,TRUE
"ALDH18A1",866.867717160835,0.666356216115949,0.147482282306256,4.51821198923555,6.23640294574339e-06,0.00141890981542263,TRUE
"TUT7",3241.18179624293,-0.635799009075784,0.140934693192255,-4.51130232503123,6.44308108716688e-06,0.00143277373123224,TRUE
"ZNF808",599.501871574431,-0.420776172382015,0.0932897493581785,-4.51042236984129,6.4698675322065e-06,0.00143277373123224,TRUE
"SGK1",1243.44708464678,0.783149825863693,0.173931361269577,4.50263724809171,6.71153844847234e-06,0.00146673608014049,TRUE
"ST3GAL1",5662.31856215698,-0.763283046116791,0.169738946245959,-4.49680561237113,6.8982000825758e-06,0.00148795071651301,TRUE
"RGS16",36.3006997313632,2.13735113406013,0.476999165953133,4.48082782239106,7.43540776170338e-06,0.00158326522454015,TRUE
"NOP14",710.281118598273,-0.332416584159312,0.074410492404964,-4.46733482625276,7.92001190648367e-06,0.00166510731335174,TRUE
"NONO",3135.87049922348,-0.265066283574224,0.0595694128554772,-4.44970448537588,8.59885244884062e-06,0.00178522925403492,FALSE
"PHC3",3428.29219080854,-0.277136703216426,0.0624459042467675,-4.43802850738241,9.07865974006499e-06,0.00186157357558937,FALSE
"JUN",276.960043953095,0.940067416733145,0.212556991393007,4.42266053246401,9.74928601707666e-06,0.00195091435491116,TRUE
"RAP2A",754.444814503937,0.54417619070568,0.123018305486157,4.42353833890939,9.70973915567886e-06,0.00195091435491116,TRUE
"SGMS1",1393.78442871321,-0.343090812400043,0.0776791830459289,-4.41676648681006,1.00188362885989e-05,0.00198098633234928,TRUE
"INSYN2B",49.6523768160381,0.926259206920909,0.210711912978269,4.39585590500731,1.10337114046749e-05,0.00203621014133607,TRUE
"LGALS3BP",1888.36200058436,0.833276507054717,0.189398952074501,4.39958351367722,1.08458832595243e-05,0.00203621014133607,TRUE
"NIBAN2",556.321447891568,0.802703480884935,0.18259737497326,4.39602968554441,1.10248862984301e-05,0.00203621014133607,TRUE
"TYMP",709.034673828218,0.795968555215481,0.181052650751845,4.39633748475992,1.10092718508248e-05,0.00203621014133607,TRUE
"ABCB11",4611.59407837973,-0.780053918060359,0.177285464680758,-4.39998800502354,1.08256861999104e-05,0.00203621014133607,TRUE
