"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"NAA16",50.9334646767544,0.437665305056025,0.181584100252704,2.41026226661333,0.0159410566071578,0.031480747921513,TRUE
"LRCH3",211.19392326566,-0.232485928354969,0.0964582834701443,-2.41022253342221,0.0159427929156807,0.031480747921513,FALSE
"CLU",91851.2245479137,-0.283549905160556,0.117662590432799,-2.40985604785322,0.0159588158826477,0.0315058598544661,FALSE
"CHMP2A",1406.08576768454,0.204160176959293,0.0847198704042605,2.40982636051136,0.0159601144506075,0.0315058598544661,FALSE
"ADAMTS5",97.8132721367277,-0.437649300913057,0.181706129970282,-2.40855551204923,0.0160157904143823,0.0316112067509714,TRUE
"GPR180",211.930751698807,0.319538202054185,0.132672997599466,2.40846447910114,0.0160197851202746,0.0316145319619436,TRUE
"GPC4",33.1992657744301,0.508123363825866,0.211089723435391,2.40714401230142,0.0160778284004567,0.0317245039631849,TRUE
"GTF2H1",285.562927168836,0.185939802450078,0.0772502684978251,2.4069793680434,0.0160850785550873,0.0317342345545517,FALSE
"ATG4D",67.4711087465724,0.360987793506537,0.149981399171546,2.40688375692272,0.0160892901356776,0.0317365752490231,TRUE
"BID",478.991985726773,0.185386144409134,0.0770244775360235,2.40684715222419,0.0160909027950439,0.0317365752490231,FALSE
"ZNRF3",252.876730788086,-0.193314236346816,0.0803591483728692,-2.4056282360016,0.0161446846651973,0.0318380625832696,FALSE
"SGPL1",995.027041136966,-0.161433441037982,0.0671282456010673,-2.40485118585335,0.0161790526213606,0.0319012410568998,FALSE
"SH3RF3",34.0671823406095,-0.4234795424559,0.176101759736054,-2.40474338865564,0.016183825431772,0.0319060551511426,TRUE
"LY96",51.013393496307,0.415846581974461,0.172956655072867,2.40433987231809,0.0162017024399859,0.0319320995958594,TRUE
"ACMSD",981.709657094602,0.258330026876279,0.107441115680916,2.40438704716618,0.0161996115544123,0.0319320995958594,FALSE
"PPP2R3B",35.4589160408849,0.509660800501541,0.212003869431583,2.40401650152907,0.0162160412795572,0.031955758236432,TRUE
"CUL3",722.601214377804,-0.164387732947065,0.0683871510603017,-2.40378097929701,0.0162264917750615,0.0319717486947152,FALSE
"CYTIP",38.6278206715353,-0.459430934903537,0.191185642628174,-2.4030619066781,0.0162584347981235,0.0320300760971812,TRUE
"PELI3",64.5728042680406,-0.283581400980928,0.118069029170507,-2.40182715969824,0.0163134143007591,0.0321337634024453,FALSE
"MAPKAPK2",701.073971719389,0.180563602616055,0.0751907884281641,2.401405895465,0.0163322092462918,0.0321661556691251,FALSE
"PHF11",158.384997907189,0.254918105043985,0.106181062326255,2.40078691490877,0.0163598599343031,0.0322159774188306,FALSE
"ZNF697",81.2254281274431,0.280476855164022,0.116847117990272,2.40037460904574,0.01637830100248,0.0322476517795917,FALSE
"TFB1M",103.845608497729,0.240638677663947,0.100253798902039,2.40029485465267,0.0163818702580917,0.0322500397514734,FALSE
"HLA-DQA1",908.985997073244,-0.454408128110632,0.189396954023458,-2.39923672718807,0.0164292894493593,0.0323387394511622,TRUE
"KPNA4",516.664152909963,-0.219403194609975,0.0914784732757163,-2.39841338353662,0.0164662703518885,0.0324068702956495,FALSE
"PER1",537.494196031006,-0.401864130160741,0.167568780371587,-2.39820406444208,0.0164756836759974,0.0324207342616391,TRUE
"FASTKD3",53.493680290106,0.3206145852145,0.13370676010571,2.39789360658369,0.0164896540330026,0.0324435602495218,TRUE
"ASRGL1",26.1364169303216,0.478642875184905,0.199636712410085,2.39756941199121,0.016504253636964,0.0324676175471453,TRUE
"GRB2",1107.1449278113,-0.109091288817837,0.0455028914876016,-2.39745838673926,0.016509256097364,0.0324727908807881,FALSE
"CRYBB1",3.46633863347467,-1.00484428075969,0.419193388156651,-2.39709000463573,0.0165258638168052,0.0325007863481529,TRUE
"SPCS3",909.170922786245,-0.193914041120032,0.0809552718235025,-2.39532320443319,0.0166057203438508,0.0326531449175203,FALSE
"LY6E",6401.57874006354,0.418448076675549,0.174711374445504,2.39508204891418,0.0166166464269968,0.0326699357850709,TRUE
"GPR157",87.538978315441,0.26050099242721,0.108796025848313,2.39439805264953,0.0166476707416534,0.0327262312223884,FALSE
"UBAC2",694.1104069775,0.171033366623203,0.0714674097280501,2.39316588181976,0.0167036872079358,0.0328316333660505,FALSE
"SLC25A34",94.4288080520163,-0.408066029179805,0.17052556383628,-2.39299035288096,0.0167116804875331,0.0328426276784,TRUE
"GPR171",7.90256942588779,0.822500752216562,0.343754052492097,2.39270125327605,0.0167248528967019,0.0328637306454737,TRUE
"NAB2",118.503444364122,0.32716013683177,0.136735516127863,2.39264929914652,0.0167272210782091,0.0328637306454737,TRUE
"GAS6",448.68534252782,0.375033992777506,0.156806247404161,2.39170313036619,0.0167704010283392,0.0329391085639854,TRUE
"CRTC2",226.067094454477,-0.226024493106178,0.0945020083313475,-2.39174274808721,0.0167685910482269,0.0329391085639854,FALSE
"TFPT",100.944349613993,0.407154656889037,0.170246567878254,2.39155867847039,0.0167770019283896,0.0329473451559679,TRUE
"CNOT11",304.173929675534,0.153408496712655,0.0641496589666448,2.39141562377473,0.0167835412295183,0.0329554584314474,FALSE
"EHMT2",282.203722809918,-0.241103609785492,0.10082646736268,-2.39127300690032,0.0167900627442445,0.0329635344595798,FALSE
