"n_group","rho","confounding","selection_fraction","replicates","reference_replicates","method","rejection_rate","wilson_lower","wilson_upper","mcse","covers_nominal_0.05","mean_selected_n","median_statistic"
32,0.3,"none",0.25,500,499,"naive_fixed_set_gene_label",0.478,0.434550960393876,0.521784510586432,0.0223390241505756,FALSE,3.806,0.0395933406079965
32,0.3,"none",0.25,500,499,"gene_label_complete_rule_replay",0.038,0.0244601180558304,0.0585847725306439,0.00855055553750749,TRUE,3.806,0.0395933406079965
32,0.3,"none",0.25,500,499,"block_preserving_rule_replay",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,3.806,0.0395933406079965
32,0.3,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,3.806,0.0395933406079965
32,0.3,"none",0.5,500,499,"naive_fixed_set_gene_label",0.994,0.982509747895947,0.99795740372804,0.00345369367489359,FALSE,14.902,0.884182266889819
32,0.3,"none",0.5,500,499,"gene_label_complete_rule_replay",0.054,0.0373743501810575,0.0774265615106471,0.0101078187557949,TRUE,14.902,0.884182266889819
32,0.3,"none",0.5,500,499,"block_preserving_rule_replay",0.038,0.0244601180558304,0.0585847725306439,0.00855055553750749,TRUE,14.902,0.884182266889819
32,0.3,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,14.902,0.884182266889819
32,0.3,"none",0.75,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,33.806,0.775222784662262
32,0.3,"none",0.75,500,499,"gene_label_complete_rule_replay",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,33.806,0.775222784662262
32,0.3,"none",0.75,500,499,"block_preserving_rule_replay",0.032,0.0197915136265711,0.0513448690454418,0.00787095928079926,TRUE,33.806,0.775222784662262
32,0.3,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.036,0.0228910609802927,0.0561843269680277,0.0083311463797007,TRUE,33.806,0.775222784662262
32,0.3,"none",0.9,500,499,"naive_fixed_set_gene_label",0.998,0.988759293294853,0.999646863605441,0.00199799899899875,FALSE,49.3,0.691440136857738
32,0.3,"none",0.9,500,499,"gene_label_complete_rule_replay",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,49.3,0.691440136857738
32,0.3,"none",0.9,500,499,"block_preserving_rule_replay",0.048,0.0324652069413532,0.0704271968358901,0.00955991631762538,TRUE,49.3,0.691440136857738
32,0.3,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,49.3,0.691440136857738
8,0.6,"none",0.1,500,499,"naive_fixed_set_gene_label",0.008,0.00311531518006224,0.0203870358341052,0.00398396787135639,FALSE,0.582,0
8,0.6,"none",0.1,500,499,"gene_label_complete_rule_replay",0.008,0.00311531518006224,0.0203870358341052,0.00398396787135639,FALSE,0.582,0
8,0.6,"none",0.1,500,499,"block_preserving_rule_replay",0.008,0.00311531518006224,0.0203870358341052,0.00398396787135639,FALSE,0.582,0
8,0.6,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.008,0.00311531518006224,0.0203870358341052,0.00398396787135639,FALSE,0.582,0
8,0.6,"none",0.25,500,499,"naive_fixed_set_gene_label",0.35,0.309480173144661,0.392807128993805,0.0213307290077015,FALSE,3.742,0
8,0.6,"none",0.25,500,499,"gene_label_complete_rule_replay",0.02,0.0108991835962108,0.0364201832468793,0.00626099033699941,FALSE,3.742,0
8,0.6,"none",0.25,500,499,"block_preserving_rule_replay",0.036,0.0228910609802927,0.0561843269680277,0.0083311463797007,TRUE,3.742,0
8,0.6,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.038,0.0244601180558304,0.0585847725306439,0.00855055553750749,TRUE,3.742,0
8,0.6,"none",0.5,500,499,"naive_fixed_set_gene_label",0.958,0.93664841424567,0.972367689891548,0.00897061870775924,FALSE,14.96,0.880365693594538
8,0.6,"none",0.5,500,499,"gene_label_complete_rule_replay",0.07,0.0507597429450181,0.0957971898519169,0.0114105214604767,FALSE,14.96,0.880365693594538
8,0.6,"none",0.5,500,499,"block_preserving_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,14.96,0.880365693594538
8,0.6,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.054,0.0373743501810575,0.0774265615106471,0.0101078187557949,TRUE,14.96,0.880365693594538
